Review	Liked
Recibí mi pedido completo y a tiempo, muy satisfecho con el servicio.	1
La comida no tenía el sabor esperado, muy decepcionante. No lo recomiendo.	0
Los precios son razonables considerando la calidad de los platos. ¡Buen valor!	1
La entrega llegó con productos dañados y tuve que contactar al servicio al cliente. No me gustó nada.	0
El sitio web es fácil de navegar y hacer pedidos. ¡Muy intuitivo!	1
La comida llegó tarde y faltaban algunos acompañamientos. Muy insatisfecho.	0
Me gusta que ofrecen opciones sin gluten y veganas en el menú. ¡Excelente!	1
Tuve problemas para rastrear mi pedido a través de la app. ¿Por qué es tan complicado?	0
La presentación de los platos es impecable, se ve apetitoso todo. ¡Bravo!	1
La pizza tenía demasiada grasa y poco sabor. No volveré a pedirla.	0
El repartidor llegó rápidamente y fue muy amable. ¡Buen servicio!	1
La comida llegó en mal estado y tuve que rechazarla. ¡Qué pésima calidad!	0
Las promociones y descuentos que ofrecen son muy atractivos. ¡Aproveché varias!	1
El tiempo de espera fue excesivo y no recibí ninguna notificación de retraso. Muy frustrante.	0
Me encanta la frescura de los ingredientes utilizados en cada plato. ¡Delicioso!	1
La comida no cumplió con mis expectativas, especialmente el arroz estaba seco.	0
El proceso de pedido es sencillo y rápido, no tuve inconvenientes. ¡Muy bien!	1
La entrega fue desorganizada y el pedido estaba incompleto. ¡Muy mala experiencia!	0
Los platos son abundantes y tienen un excelente sabor. ¡Recomendable!	1
La aplicación se bloquea frecuentemente, lo que dificulta hacer pedidos.	0
Servicio rápido y eficiente, definitivamente volveré a usarlo. ¡Cinco estrellas!	1
La comida llegó fría y sin los acompañamientos que pedí. Muy insatisfecho.	0
La variedad del menú es impresionante, hay opciones para todos los gustos. ¡Fantástico!	1
Tuve que esperar mucho tiempo para recibir mi pedido y no hubo explicación.	0
Las porciones son generosas y la calidad es excelente. ¡Excelente relación!	1
El repartidor no respetó las indicaciones de entrega y dejó la comida en la puerta. ¡Muy mal!	0
Me encanta la posibilidad de personalizar mis platos según mis preferencias. ¡Genial!	1
